"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM","Rk","Salary_2019_to_20","Salary_2020_to_21","Salary_2021_to_22","Salary_2022_to_23","Salary_2023_to_24","Salary_2024_to_25","Signed Using","Guaranteed","Salary_Per_Million","WARP_Per","PER_Mil","BPM_Per","VORP_Per","WS_Per","Pos"
"1","Houston Rockets","James Harden",30,61,2241,28.4,17.01,6.3,8.7,2.7,11.5,0.245,0.616,0.555,3,15.3,9.1,34.4,2.2,2,13.8,36.4,7.9,1.2,9,5,37800000,40824000,43848000,46872000,NA,NA,"Bird Rights",122472000,37.8,0.45,0.751322751322751,0.238095238095238,0.166666666666667,0.304232804232804,"SG"
"2","Milwaukee Bucks","Giannis Antetokounmpo",25,57,1763,31.6,16.2,6,5.6,4.8,10.4,0.282,0.608,0.238,7.8,34.5,22,33.9,1.5,2.9,13.1,37.4,7.4,4.1,11.5,42,25842697,27528090,NA,NA,NA,NA,"1st Round Pick",53370787,25.842697,0.626869556223176,1.22278259115138,0.444999993615217,0.232173909712287,0.402434776834631,"PF"
"3","LA Lakers","LeBron James",35,60,2094,26,15.39,5.7,6.1,3.4,9.5,0.218,0.582,0.324,3.1,21,12.3,49.7,1.7,1.3,15.3,31.6,6.8,1.9,8.7,6,37436858,39219565,41002273,NA,NA,NA,"Cap Space",76656423,37.436858,0.411092191550904,0.69450272776631,0.232391297367958,0.152256367241076,0.253760612068459,"SF"
"4","Denver Nuggets","Nikola Jokic",24,65,2101,25,13.77,5.1,6,3.2,9.2,0.209,0.604,0.233,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,5.4,2.3,7.6,38,26573595,28542009,30510423,32478837,NA,NA,"Bird Rights",118104864,26.573595,0.518183557776056,0.940783510849774,0.285998187298331,0.191919836213354,0.346208331992717,NA
"5","LA Lakers","Anthony Davis",26,55,1889,28.2,13.5,5,6.2,4.1,10.3,0.262,0.614,0.195,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,5.8,2.8,8.5,35,27093019,28751775,NA,NA,NA,NA,"1st Round Pick",27093019,27.093019,0.498283340073692,1.04085853259838,0.313733954861213,0.184549385212479,0.380171733537706,"PF"
"6","Dallas Mavericks","Luka Doncic",20,54,1799,27.7,12.69,4.7,5.8,2.3,8.1,0.215,0.584,0.442,4.1,24.7,14.6,45.3,1.6,0.5,14.6,37,7.3,1.1,8.4,158,7683360,8049360,10174391,NA,NA,NA,"1st Round Pick",15732720,7.68336,1.65162116573999,3.60519356115033,1.09327169363404,0.611711542866663,1.05422627600425,"PG"
"7","LA Clippers","Kawhi Leonard",28,51,1643,26.7,12.42,4.6,4.6,3,7.6,0.222,0.585,0.287,3.3,19.7,11.7,27,2.6,1.7,10.7,33.2,6.5,2.5,9,14,32742000,34379100,36016200,NA,NA,NA,"Cap Space",67121100,32.742,0.379329301814184,0.815466373465274,0.274876305662452,0.140492334005253,0.23211776922607,"SF"
"8","Miami Heat","Jimmy Butler",30,54,1851,23.4,9.18,3.4,6,2.5,8.5,0.219,0.583,0.162,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,4,1.3,5.2,12,32742000,34379100,36016200,37653300,NA,NA,"Sign and Trade",103137300,32.742,0.280373831775701,0.714678394722375,0.158817421049417,0.103842159916926,0.259605399792316,"SF"
"9","Atlanta Hawks","Trae Young",21,60,2120,23.9,8.64,3.2,5.4,0.5,5.9,0.134,0.595,0.455,1.6,11.5,6.5,45.6,1.4,0.3,16.2,34.9,6.3,-2.3,4,180,6273000,6571800,8326471,NA,NA,NA,"1st Round Pick",12844800,6.273,1.37733142037303,3.80997927626335,0.637653435357883,0.510122748286306,0.940538817152877,"PG"
"10","Miami Heat","Bam Adebayo",22,65,2235,20.6,8.64,3.2,4.6,3.6,8.1,0.175,0.606,0.018,8.7,25,17.2,23.6,1.7,3.8,17.5,20.8,1.6,2.1,3.6,253,3454080,5115492,NA,NA,NA,NA,"1st Round Pick",8569572,3.45408,2.50138966092274,5.96396146007041,1.04224569205114,0.926440615156569,2.34505280711506,"PF"
"11","Oklahoma City Thunder","Chris Paul",34,63,2003,21.7,8.64,3.2,5.5,2.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1.2,4.3,2,38506482,41358814,44211146,NA,NA,NA,"Bird Rights",79865296,38.506482,0.224377807352019,0.563541483742919,0.111669510603436,0.083102891611859,0.210354194392518,"PG"
"12","Utah Jazz","Rudy Gobert",27,62,2142,21.7,8.37,3.1,6,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.9,3.7,46,25008427,26525281,NA,NA,NA,NA,"1st Round Pick",51533708,25.008427,0.334687183644137,0.867707513151467,0.147950128970527,0.123958216164495,0.399865213433856,"C"
"13","Boston Celtics","Jayson Tatum",21,59,2043,20.3,8.1,3,2.9,3.4,6.2,0.147,0.562,0.377,3,18.8,11,14,2,2.4,9.7,28.6,3.3,0.6,3.9,155,7830000,9897120,NA,NA,NA,NA,"1st Round Pick",17727120,7.83,1.03448275862069,2.59259259259259,0.498084291187739,0.383141762452107,0.791826309067688,"PF"
"14","Philadelphia 76ers","Ben Simmons",23,54,1930,20.8,7.83,2.9,3.8,3.2,7,0.174,0.608,0.01,6.2,18,12.1,34.8,2.9,1.4,20.6,20.9,1.4,2.4,3.9,148,8113930,29250000,31590000,33930000,36270000,38610000,"1st Round pick",177763930,8.11393,0.965007092740509,2.56349266015359,0.480654873778798,0.357410034348337,0.862713876013227,"PG"
"15","Indiana Pacers","Domantas Sabonis",23,62,2159,20.7,7.83,2.9,4.2,3.3,7.6,0.168,0.586,0.079,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,2.1,1.1,3.2,245,3529555,17187500,18562500,19937500,21312500,NA,"1st Round pick",80529555,3.529555,2.21840996952874,5.8647619884093,0.906629872604337,0.82163332204768,2.1532459474353,"C"
"16","Boston Celtics","Kemba Walker",29,50,1592,20.2,7.29,2.7,3.5,1.9,5.4,0.163,0.569,0.526,2.2,11.4,6.9,24.6,1.4,1.5,10.3,27.8,5,-0.2,4.7,13,32742000,34379100,36016200,37653300,NA,NA,"Sign and Trade",103137300,32.742,0.222649807586586,0.616944597153503,0.14354651517928,0.0824628916987356,0.164925783397471,"PG"
