"","Team","Player","Age","G","MP","PER","WARP","VORP","OWS","DWS","WS","WS/48","TS%","3PAr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OBPM","DBPM","BPM"
"1","Boston Celtics","Jayson Tatum",21,59,2043,20.3,8.1,3,2.9,3.4,6.2,0.147,0.562,0.377,3,18.8,11,14,2,2.4,9.7,28.6,3.3,0.6,3.9
"2","Boston Celtics","Marcus Smart",25,53,1721,14,4.05,1.5,1.7,2.4,4.1,0.115,0.519,0.582,2.5,10.1,6.4,21,2.4,1.5,11.5,19.3,0.2,1.3,1.6
"3","Boston Celtics","Jaylen Brown",23,50,1702,17.1,3.24,1.2,2.1,2.3,4.5,0.126,0.589,0.364,3.4,16.5,10,10.2,1.6,0.9,11.8,24.7,1,-0.1,0.9
"4","Boston Celtics","Kemba Walker",29,50,1592,20.2,7.29,2.7,3.5,1.9,5.4,0.163,0.569,0.526,2.2,11.4,6.9,24.6,1.4,1.5,10.3,27.8,5,-0.2,4.7
"5","Boston Celtics","Gordon Hayward",29,45,1501,18.2,4.86,1.8,3.1,1.9,5,0.16,0.593,0.311,3.2,17.6,10.5,19,1.1,1.2,10.8,20.9,2.6,0.3,2.9
"6","Boston Celtics","Daniel Theis",27,58,1382,18.2,4.05,1.5,3.6,2.3,5.9,0.205,0.629,0.212,10.2,19.2,14.7,9.9,1.2,5,10.1,14.7,0.4,1.8,2.3
"7","Boston Celtics","Brad Wanamaker",30,63,1215,11.8,0.54,0.2,1.2,1.5,2.7,0.108,0.56,0.283,1.7,9.2,5.5,17.6,2.1,0.9,15.9,15.4,-2.5,1.2,-1.3
"8","Boston Celtics","Grant Williams",21,62,970,8,-0.27,-0.1,0.2,1.3,1.5,0.075,0.508,0.443,6.5,11.7,9.1,8.3,1.4,3.1,17.7,11.5,-4,1.4,-2.6
"9","Boston Celtics","Enes Kanter",27,51,891,22,2.16,0.8,2.1,1.7,3.8,0.207,0.594,0.023,17.1,30.2,23.7,8.4,1.1,3.9,12.9,19.3,1.6,-0.1,1.5
"10","Boston Celtics","Semi Ojeleye",25,61,891,7.6,0.27,0.1,0.8,0.9,1.7,0.091,0.557,0.616,2.9,11.9,7.5,4.5,1,0.5,6.5,8.8,-2.1,0.5,-1.6
"11","Boston Celtics","Javonte Green",26,44,414,12.3,0.27,0.1,0.3,0.7,1,0.112,0.558,0.235,4.7,15.9,10.4,7.6,2.7,1.6,13.7,13.6,-2.4,1.8,-0.6
"12","Boston Celtics","Robert Williams",22,23,323,19.6,1.35,0.5,0.6,0.8,1.4,0.205,0.671,0,11.4,24.3,17.9,9.5,3,8,21.5,12.3,-0.6,4.4,3.8
"13","Boston Celtics","Carsen Edwards",21,35,316,6.5,-0.54,-0.2,-0.3,0.4,0.1,0.012,0.446,0.602,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,-4.6,-0.3,-4.9
"14","Boston Celtics","Romeo Langford",20,27,298,6,-0.54,-0.2,-0.1,0.3,0.2,0.039,0.465,0.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,-4.5,-0.1,-4.6
"15","Boston Celtics","Vincent Poirier",26,21,114,12.8,-0.27,-0.1,0.1,0.2,0.3,0.124,0.54,0.061,9.5,22.4,16,8.6,0.8,4.9,14.3,15.8,-4.5,0.7,-3.8
"16","Boston Celtics","Tremont Waters",22,10,89,6.5,-0.27,-0.1,-0.2,0.1,-0.1,-0.045,0.438,0.486,0,10.7,5.4,18.8,2.7,2.1,21,22.9,-6.6,0.1,-6.5
"17","Boston Celtics","Tacko Fall",24,6,24,23.9,0,0,0,0.1,0.1,0.102,0.713,0,0,48.7,24.6,0,0,7.7,18.4,29,-2,3.1,1
"18","Toronto Raptors","Kyle Lowry",33,52,1901,17.9,6.75,2.5,4.1,2.8,6.9,0.173,0.589,0.583,1.7,12,7,31,1.8,1.1,15,23.1,2.5,0.7,3.2
"19","Toronto Raptors","OG Anunoby",22,63,1897,13.2,3.78,1.4,1.8,3.3,5.1,0.13,0.598,0.408,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,-0.9,1.8,0.9
"20","Toronto Raptors","Pascal Siakam",25,53,1882,18.7,5.4,2,2,3.2,5.2,0.133,0.559,0.32,3.3,18.8,11.2,17,1.3,2.5,10.5,28.5,1.7,0.5,2.2
"21","Toronto Raptors","Fred VanVleet",25,48,1719,16,4.86,1.8,2.2,2.7,4.9,0.136,0.546,0.482,1.1,9.7,5.5,27.4,2.5,0.7,12.4,22,1,1.3,2.3
"22","Toronto Raptors","Serge Ibaka",30,50,1377,18,2.43,0.9,1.5,2.4,3.9,0.136,0.593,0.266,8.2,23.3,15.9,8.8,0.8,2.9,12.9,24.1,0.5,-0.1,0.4
"23","Toronto Raptors","Norman Powell",26,44,1269,17.4,3.78,1.4,2.2,1.9,4.2,0.157,0.629,0.457,2,11.2,6.7,9.7,2.1,1.3,10,21.5,1.4,0.9,2.3
"24","Toronto Raptors","Terence Davis",22,64,1087,14.5,2.43,0.9,1.4,1.6,3,0.133,0.598,0.568,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,0.7,0.6,1.3
"25","Toronto Raptors","Rondae Hollis-Jefferson",25,52,998,15.5,1.62,0.6,1.4,1.8,3.2,0.153,0.533,0.058,11,15.8,13.4,12.9,2.1,2.1,12.2,17.2,-1.1,1.5,0.5
"26","Toronto Raptors","Marc Gasol",35,36,990,11.9,2.43,0.9,0.9,1.8,2.7,0.128,0.546,0.538,3.2,20.8,12.2,16.9,1.3,3.2,14.6,12.7,-0.9,2.7,1.8
"27","Toronto Raptors","Patrick McCaw",24,37,908,7.3,0,0,0.2,1.2,1.4,0.073,0.5,0.438,2.3,7.6,5,11.4,2,0.4,14.6,9.4,-3.6,1.8,-1.8
"28","Toronto Raptors","Chris Boucher",27,55,724,19.8,1.62,0.6,1.7,1.5,3.2,0.214,0.57,0.381,14,21.1,17.7,4.7,1.3,7.1,7,19.4,0.4,1,1.4
"29","Toronto Raptors","Matt Thomas",25,33,321,13.6,0.81,0.3,0.5,0.4,0.9,0.137,0.65,0.676,2.4,13.2,7.9,7.9,1.2,0,9.4,17,1,0.4,1.4
"30","Toronto Raptors","Oshae Brissett",21,19,135,6.7,-0.27,-0.1,-0.1,0.2,0.1,0.042,0.458,0.417,7.2,13,10.2,7,1.4,0.7,14.8,15,-5.7,0.3,-5.4
"31","Toronto Raptors","Malcolm Miller",26,25,125,4.7,0,0,-0.1,0.2,0.1,0.037,0.432,0.792,0.9,10.8,5.9,8.3,1.5,1.5,10.1,10.1,-4.3,1.4,-2.9
"32","Toronto Raptors","Stanley Johnson",23,20,96,3.1,-0.27,-0.1,-0.3,0.2,-0.1,-0.068,0.342,0.419,3.4,20.5,12.1,11,2,2,19.2,18.6,-7.9,1.4,-6.5
"33","Toronto Raptors","Shamorie Ponds",21,4,11,33.2,0,0,0.1,0,0.1,0.451,0.765,0.4,0,9.4,4.8,32.1,0,8.8,0,22.9,8.4,5.3,13.7
"34","Toronto Raptors","Dewan Hernandez",23,4,11,4.2,-0.27,-0.1,0,0,0,0.003,0.34,0.2,19.6,47,33.6,0,4.3,0,14.5,26.8,-18.3,-3,-21.3
"35","Toronto Raptors","Paul Watson",25,3,8,13.6,0,0,0,0,0,0.114,0.266,1,0,25.9,13.2,29.8,0,12.1,0,10.1,1.1,5.8,6.9
"36","Brooklyn Nets","Spencer Dinwiddie",26,64,1994,17.9,5.13,1.9,3.4,1.7,5.1,0.123,0.541,0.392,1.7,9.5,5.7,35.6,1,0.9,12.5,29.2,2.6,-0.8,1.7
"37","Brooklyn Nets","Joe Harris",28,63,1946,12.7,2.16,0.8,2.1,1.7,3.8,0.094,0.592,0.523,3.3,10.9,7.2,10.3,0.9,0.7,11.1,17.9,0,-0.5,-0.5
"38","Brooklyn Nets","Taurean Waller-Prince",25,64,1857,9.2,-1.35,-0.5,-1.7,2.4,0.7,0.019,0.497,0.583,2.8,17.9,10.6,9.3,1.5,1.1,14,20.4,-2.9,-0.1,-3
"39","Brooklyn Nets","Jarrett Allen",21,64,1647,20.3,4.59,1.7,4.3,2.8,7.1,0.207,0.658,0.012,12.5,25,18.9,7.8,1.1,4.3,12.2,15,1,1.1,2.1
"40","Brooklyn Nets","Garrett Temple",33,55,1547,10.3,1.08,0.4,0.5,1.6,2.1,0.065,0.507,0.66,1.9,10.5,6.3,13.1,1.3,1.4,9.3,16.6,-1.5,0.4,-1.1
"41","Brooklyn Nets","DeAndre Jordan",31,56,1234,20,4.05,1.5,3,2.3,5.3,0.204,0.682,0,12.1,34.2,23.4,12.8,0.7,3.5,17.8,14.1,1.1,1.8,2.8
"42","Brooklyn Nets","Caris LeVert",25,39,1131,15.1,1.08,0.4,-0.1,1.2,1.2,0.05,0.509,0.31,3.7,10.6,7.2,23.5,1.8,0.5,12.6,28.8,0.1,-0.7,-0.6
"43","Brooklyn Nets","Wilson Chandler",32,35,734,7.4,-0.54,-0.2,-0.1,0.9,0.8,0.05,0.531,0.661,1.6,18.3,10.2,7.4,1,1.4,15,13,-3.9,1,-2.9
"44","Brooklyn Nets","Timothé Luwawu-Cabarrot",24,39,671,8.9,-0.54,-0.2,0.4,0.6,1,0.069,0.563,0.568,3.8,10,7,5.3,1.1,0.7,12.7,15.7,-3,-0.2,-3.2
